vector,variant,alpha_db,prompt_id,music_prompt,secret_id,secret,hyp,wer,mcd
A,flat,-6.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,78.76884460449219
A,flat,-6.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third corner past the old library it's sunset tomorrow.,0.08333333333333333,89.97423553466797
A,flat,-6.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 2-0.,0.3333333333333333,100.33209228515625
A,flat,-6.0,ambient,"ambient pad, ethereal, slow, atmospheric",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,95.20854187011719
A,flat,-6.0,ambient,"ambient pad, ethereal, slow, atmospheric",1,meet at the third corner past the old library at sunset tomorrow,"Meet at the third corner, past the old library at sunset tomorrow.",0.0,92.84586334228516
A,flat,-6.0,ambient,"ambient pad, ethereal, slow, atmospheric",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 2-0.,0.3333333333333333,112.41275787353516
A,flat,-6.0,classical,"classical string quartet, baroque style, 80 bpm",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,56.329593658447266
A,flat,-6.0,classical,"classical string quartet, baroque style, 80 bpm",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third corner past the old library at sunset tomorrow.,0.0,58.04341506958008
A,flat,-6.0,classical,"classical string quartet, baroque style, 80 bpm",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 20.,0.3333333333333333,54.48963928222656
A,flat,-12.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,61.582801818847656
A,flat,-12.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third corner past the old library it's sunset tomorrow.,0.08333333333333333,69.11654663085938
A,flat,-12.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 2-0.,0.3333333333333333,77.17860412597656
A,flat,-12.0,ambient,"ambient pad, ethereal, slow, atmospheric",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,97.81461334228516
A,flat,-12.0,ambient,"ambient pad, ethereal, slow, atmospheric",1,meet at the third corner past the old library at sunset tomorrow,"Meet at the third corner, past the old library at sunset tomorrow.",0.0,97.08533477783203
A,flat,-12.0,ambient,"ambient pad, ethereal, slow, atmospheric",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 2-0.,0.3333333333333333,94.0926284790039
A,flat,-12.0,classical,"classical string quartet, baroque style, 80 bpm",0,the quick brown fox jumps over the lazy dog near the river bank,the quick brown fox jumps over the easy dog near the riverbank.,0.23076923076923078,42.095985412597656
A,flat,-12.0,classical,"classical string quartet, baroque style, 80 bpm",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third quarter has the old library at sunset tomorrow.,0.16666666666666666,43.64258575439453
A,flat,-12.0,classical,"classical string quartet, baroque style, 80 bpm",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 2-0.,0.3333333333333333,49.26171112060547
A,flat,-18.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",0,the quick brown fox jumps over the lazy dog near the river bank,the quick brown fox jumps over the lazy dog near the room bank.,0.07692307692307693,48.18745422363281
A,flat,-18.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",1,meet at the third corner past the old library at sunset tomorrow,Meet at the third corner past the old library in sunset tomorrow.,0.08333333333333333,50.87411880493164
A,flat,-18.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 20.,0.3333333333333333,56.80647277832031
A,flat,-18.0,ambient,"ambient pad, ethereal, slow, atmospheric",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,89.97173309326172
A,flat,-18.0,ambient,"ambient pad, ethereal, slow, atmospheric",1,meet at the third corner past the old library at sunset tomorrow,"Meet at the third corner, past the old library sunset tomorrow.",0.08333333333333333,93.94145202636719
A,flat,-18.0,ambient,"ambient pad, ethereal, slow, atmospheric",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 2-0.,0.3333333333333333,88.84171295166016
A,flat,-18.0,classical,"classical string quartet, baroque style, 80 bpm",0,the quick brown fox jumps over the lazy dog near the river bank,Quick brown fox jumps over the nose and follow in the riverbank.,0.5384615384615384,31.14996337890625
A,flat,-18.0,classical,"classical string quartet, baroque style, 80 bpm",1,meet at the third corner past the old library at sunset tomorrow,"Meet at the third quarter as a hare, alreadyOliveching a sunset tomorrow.",0.5,32.253684997558594
A,flat,-18.0,classical,"classical string quartet, baroque style, 80 bpm",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is called for other seven-line Delta Echo 2s.,0.5,36.48824691772461
A,flat,-24.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",0,the quick brown fox jumps over the lazy dog near the river bank,the quick brown fox jumps over the lazy dog near the room.,0.15384615384615385,35.52356719970703
A,flat,-24.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",1,meet at the third corner past the old library at sunset tomorrow,meet at the third corner past the old library and sunset tomorrow.,0.08333333333333333,36.25532531738281
A,flat,-24.0,lofi,"lo-fi hip-hop, soft piano, 60 bpm, mellow",2,the encryption key is alpha bravo seven nine delta echo two zero,the encryption key is alpha Bravo 7-9 delta echo 20.,0.3333333333333333,39.98093795776367
A,flat,-24.0,ambient,"ambient pad, ethereal, slow, atmospheric",0,the quick brown fox jumps over the lazy dog near the river bank,The quick brown fox jumps over the lazy dog near the riverbank.,0.15384615384615385,77.27352905273438
A,flat,-24.0,ambient,"ambient pad, ethereal, slow, atmospheric",1,meet at the third corner past the old library at sunset tomorrow,"Meet at the third corner, past the old library sunset tomorrow.",0.08333333333333333,79.49044036865234
A,flat,-24.0,ambient,"ambient pad, ethereal, slow, atmospheric",2,the encryption key is alpha bravo seven nine delta echo two zero,The encryption key is Alpha Bravo 7-9 Delta Echo 2-0.,0.3333333333333333,78.9346694946289
