product_id,title,category,color,material,style,features
p01,Classic Leather Oxford Shoes,Footwear,Brown,Genuine Leather,Formal,Lace-up stitched sole polished finish
p02,Running Sneakers Mesh Upper,Footwear,White,Mesh and rubber,Athletic,Breathable cushioned sole lightweight
p03,Wireless Over-Ear Headphones,Electronics,Matte Black,Plastic and foam,Modern,Noise-cancelling padded ear cups foldable
p04,Stainless Steel Water Bottle,Home,Silver,Stainless steel,Minimalist,Double-wall insulated screw cap 750ml
p05,Scandinavian Wooden Chair,Furniture,Light Oak,Oak wood,Scandinavian,Curved backrest tapered legs minimal
p06,Cotton Crew Neck T-Shirt,Apparel,Navy Blue,100% cotton,Casual,Short sleeve ribbed collar relaxed fit
p07,Leather Crossbody Handbag,Accessories,Tan,Pebbled leather,Fashion,Gold hardware adjustable strap flap closure
p08,Ceramic Coffee Mug,Home,White,Glazed ceramic,Contemporary,12oz C-handle microwave safe
p09,Denim Slim-Fit Jeans,Apparel,Indigo,Stretch denim,Casual,Five pocket tapered leg mid rise
p10,Modern Desk Lamp,Home,Black,Metal and aluminum,Industrial,Adjustable arm LED bulb touch switch
p11,Aviator Sunglasses,Accessories,Gold frame,Metal and polarized lens,Retro,Teardrop lenses double bridge UV400
p12,Smart Fitness Watch,Electronics,Space Gray,Aluminum and silicone,Sporty,Touchscreen heart-rate GPS rubber strap
p13,Velvet Tufted Sofa,Furniture,Emerald Green,Velvet upholstery,Luxury,Tufted back rolled arms wooden legs
p14,Professional Chef Knife,Kitchen,Silver blade,High-carbon steel,Professional,8-inch blade ergonomic handle riveted
p15,Linen Throw Pillow,Home,Beige,Linen cotton blend,Bohemian,18x18 inch tassel corners removable cover
