vector,distortion,trial,true_bits,pred_bits,ber,sim_00,sim_01,sim_10,sim_11
B,none,0,00,00,0.0,0.5274406671524048,0.3272688686847687,0.3122461438179016,0.14135901629924774
B,none,0,01,01,0.0,0.6092778444290161,0.6130459904670715,0.260399729013443,0.18177883327007294
B,none,0,10,10,0.0,0.3892842233181,0.4062674641609192,0.5213462710380554,0.42161256074905396
B,none,0,11,10,0.5,0.23442023992538452,0.35590893030166626,0.4600735902786255,0.4103201627731323
B,none,1,00,00,0.0,0.5406383872032166,0.5283851623535156,0.2271171510219574,0.0482289120554924
B,none,1,01,00,0.5,0.6650820970535278,0.6286107301712036,0.3574168384075165,0.226418599486351
B,none,1,10,10,0.0,0.221825510263443,0.2882574796676636,0.5156968235969543,0.39462968707084656
B,none,1,11,10,0.5,0.10029388219118118,0.27766847610473633,0.4761950969696045,0.4460391104221344
B,none,2,00,00,0.0,0.5326412320137024,0.2852243185043335,0.24034708738327026,0.035708412528038025
B,none,2,01,00,0.5,0.6156540513038635,0.5991519689559937,0.2612759470939636,0.1779770404100418
B,none,2,10,10,0.0,0.3630203306674957,0.2875850200653076,0.4597073495388031,0.3168521225452423
B,none,2,11,10,0.5,0.17788168787956238,0.3320052921772003,0.44499748945236206,0.4183485805988312
B,none,3,00,00,0.0,0.4438937306404114,0.23831096291542053,0.3299596309661865,0.15809029340744019
B,none,3,01,00,0.5,0.6043733954429626,0.536068320274353,0.2856859266757965,0.148037850856781
B,none,3,10,10,0.0,0.1692969799041748,0.32743149995803833,0.4471958875656128,0.35318103432655334
B,none,3,11,10,0.5,0.17194509506225586,0.2753428816795349,0.462615042924881,0.4047722816467285
B,none,4,00,00,0.0,0.48100319504737854,0.2763833701610565,0.24457931518554688,0.07228096574544907
B,none,4,01,01,0.0,0.6439729332923889,0.6550365090370178,0.26724565029144287,0.19440189003944397
B,none,4,10,10,0.0,0.2047453671693802,0.22935400903224945,0.44273442029953003,0.31941354274749756
B,none,4,11,10,0.5,0.2592530846595764,0.33630073070526123,0.42950567603111267,0.36307868361473083
B,mp3_320,0,00,00,0.0,0.5274713039398193,0.3270266652107239,0.31157782673835754,0.14098332822322845
B,mp3_320,0,01,01,0.0,0.6085443496704102,0.6126354932785034,0.2600306272506714,0.18157219886779785
B,mp3_320,0,10,10,0.0,0.37989988923072815,0.399650514125824,0.5113630890846252,0.41505512595176697
B,mp3_320,0,11,10,0.5,0.1906750500202179,0.3260416090488434,0.42561063170433044,0.3925268352031708
B,mp3_320,1,00,00,0.0,0.5415367484092712,0.5290063619613647,0.2270134687423706,0.04845939949154854
B,mp3_320,1,01,00,0.5,0.6608747839927673,0.6252772212028503,0.35039812326431274,0.2212068736553192
B,mp3_320,1,10,10,0.0,0.21217988431453705,0.28750771284103394,0.5016420483589172,0.3880561888217926
B,mp3_320,1,11,10,0.5,0.06439121067523956,0.2717152237892151,0.43814966082572937,0.4277145564556122
B,mp3_320,2,00,00,0.0,0.5328407287597656,0.2857014536857605,0.24014998972415924,0.03618110343813896
B,mp3_320,2,01,00,0.5,0.6147496104240417,0.5978630185127258,0.26005104184150696,0.1773928850889206
B,mp3_320,2,10,10,0.0,0.35385724902153015,0.2794734835624695,0.4427754878997803,0.3059283494949341
B,mp3_320,2,11,10,0.5,0.1593879908323288,0.318380743265152,0.4271675646305084,0.4009833335876465
B,mp3_320,3,00,00,0.0,0.44392988085746765,0.2377040982246399,0.32998889684677124,0.15734952688217163
B,mp3_320,3,01,00,0.5,0.6039124727249146,0.5353851318359375,0.2835174798965454,0.1467842012643814
B,mp3_320,3,10,10,0.0,0.15273195505142212,0.31611478328704834,0.41973447799682617,0.3379748463630676
B,mp3_320,3,11,10,0.5,0.16107940673828125,0.2601250410079956,0.44337671995162964,0.39512211084365845
B,mp3_320,4,00,00,0.0,0.48028409481048584,0.2762776017189026,0.2458120733499527,0.07321788370609283
B,mp3_320,4,01,01,0.0,0.6409457325935364,0.6531862020492554,0.2637752294540405,0.19294191896915436
